model,filename,download_url,opendap_url,Varient,period,Var,grid,timeStep,start,stop,r,i,p,f
UKESM1-0-LL,tas_Amon_UKESM1-0-LL_historical_r1i1p1f2_gn_185001-194912.nc,http://aims3.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/MOHC/UKESM1-0-LL/historical/r1i1p1f2/Amon/tas/gn/v20190406/tas_Amon_UKESM1-0-LL_historical_r1i1p1f2_gn_185001-194912.nc,http://aims3.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/MOHC/UKESM1-0-LL/historical/r1i1p1f2/Amon/tas/gn/v20190406/tas_Amon_UKESM1-0-LL_historical_r1i1p1f2_gn_185001-194912.nc,r1i1p1f2,historical,tas,gn,mon,1850,1949,1,1,1,2
UKESM1-0-LL,tas_Amon_UKESM1-0-LL_historical_r1i1p1f2_gn_195001-201412.nc,http://aims3.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/MOHC/UKESM1-0-LL/historical/r1i1p1f2/Amon/tas/gn/v20190406/tas_Amon_UKESM1-0-LL_historical_r1i1p1f2_gn_195001-201412.nc,http://aims3.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/MOHC/UKESM1-0-LL/historical/r1i1p1f2/Amon/tas/gn/v20190406/tas_Amon_UKESM1-0-LL_historical_r1i1p1f2_gn_195001-201412.nc,r1i1p1f2,historical,tas,gn,mon,1950,2014,1,1,1,2
UKESM1-0-LL,rsdt_Amon_UKESM1-0-LL_historical_r1i1p1f2_gn_185001-194912.nc,http://aims3.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/MOHC/UKESM1-0-LL/historical/r1i1p1f2/Amon/rsdt/gn/v20190406/rsdt_Amon_UKESM1-0-LL_historical_r1i1p1f2_gn_185001-194912.nc,http://aims3.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/MOHC/UKESM1-0-LL/historical/r1i1p1f2/Amon/rsdt/gn/v20190406/rsdt_Amon_UKESM1-0-LL_historical_r1i1p1f2_gn_185001-194912.nc,r1i1p1f2,historical,rsdt,gn,mon,1850,1949,1,1,1,2
UKESM1-0-LL,rsdt_Amon_UKESM1-0-LL_historical_r1i1p1f2_gn_195001-201412.nc,http://aims3.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/MOHC/UKESM1-0-LL/historical/r1i1p1f2/Amon/rsdt/gn/v20190406/rsdt_Amon_UKESM1-0-LL_historical_r1i1p1f2_gn_195001-201412.nc,http://aims3.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/MOHC/UKESM1-0-LL/historical/r1i1p1f2/Amon/rsdt/gn/v20190406/rsdt_Amon_UKESM1-0-LL_historical_r1i1p1f2_gn_195001-201412.nc,r1i1p1f2,historical,rsdt,gn,mon,1950,2014,1,1,1,2
UKESM1-0-LL,rsdt_Amon_UKESM1-0-LL_historical_r1i1p1f2_gn_185001-194912.nc,http://esgf-data04.diasjp.net/thredds/fileServer/esg_dataroot/CMIP6/CMIP/MOHC/UKESM1-0-LL/historical/r1i1p1f2/Amon/rsdt/gn/v20190406/rsdt_Amon_UKESM1-0-LL_historical_r1i1p1f2_gn_185001-194912.nc,http://esgf-data04.diasjp.net/thredds/dodsC/esg_dataroot/CMIP6/CMIP/MOHC/UKESM1-0-LL/historical/r1i1p1f2/Amon/rsdt/gn/v20190406/rsdt_Amon_UKESM1-0-LL_historical_r1i1p1f2_gn_185001-194912.nc,r1i1p1f2,historical,rsdt,gn,mon,1850,1949,1,1,1,2
UKESM1-0-LL,rsdt_Amon_UKESM1-0-LL_historical_r1i1p1f2_gn_195001-201412.nc,http://esgf-data04.diasjp.net/thredds/fileServer/esg_dataroot/CMIP6/CMIP/MOHC/UKESM1-0-LL/historical/r1i1p1f2/Amon/rsdt/gn/v20190406/rsdt_Amon_UKESM1-0-LL_historical_r1i1p1f2_gn_195001-201412.nc,http://esgf-data04.diasjp.net/thredds/dodsC/esg_dataroot/CMIP6/CMIP/MOHC/UKESM1-0-LL/historical/r1i1p1f2/Amon/rsdt/gn/v20190406/rsdt_Amon_UKESM1-0-LL_historical_r1i1p1f2_gn_195001-201412.nc,r1i1p1f2,historical,rsdt,gn,mon,1950,2014,1,1,1,2
UKESM1-0-LL,tas_Amon_UKESM1-0-LL_historical_r1i1p1f2_gn_185001-194912.nc,http://esgf-data04.diasjp.net/thredds/fileServer/esg_dataroot/CMIP6/CMIP/MOHC/UKESM1-0-LL/historical/r1i1p1f2/Amon/tas/gn/v20190406/tas_Amon_UKESM1-0-LL_historical_r1i1p1f2_gn_185001-194912.nc,http://esgf-data04.diasjp.net/thredds/dodsC/esg_dataroot/CMIP6/CMIP/MOHC/UKESM1-0-LL/historical/r1i1p1f2/Amon/tas/gn/v20190406/tas_Amon_UKESM1-0-LL_historical_r1i1p1f2_gn_185001-194912.nc,r1i1p1f2,historical,tas,gn,mon,1850,1949,1,1,1,2
UKESM1-0-LL,tas_Amon_UKESM1-0-LL_historical_r1i1p1f2_gn_195001-201412.nc,http://esgf-data04.diasjp.net/thredds/fileServer/esg_dataroot/CMIP6/CMIP/MOHC/UKESM1-0-LL/historical/r1i1p1f2/Amon/tas/gn/v20190406/tas_Amon_UKESM1-0-LL_historical_r1i1p1f2_gn_195001-201412.nc,http://esgf-data04.diasjp.net/thredds/dodsC/esg_dataroot/CMIP6/CMIP/MOHC/UKESM1-0-LL/historical/r1i1p1f2/Amon/tas/gn/v20190406/tas_Amon_UKESM1-0-LL_historical_r1i1p1f2_gn_195001-201412.nc,r1i1p1f2,historical,tas,gn,mon,1950,2014,1,1,1,2
UKESM1-0-LL,tas_Amon_UKESM1-0-LL_historical_r1i1p1f2_gn_185001-194912.nc,http://esgf3.dkrz.de/thredds/fileServer/cmip6/CMIP/MOHC/UKESM1-0-LL/historical/r1i1p1f2/Amon/tas/gn/v20190406/tas_Amon_UKESM1-0-LL_historical_r1i1p1f2_gn_185001-194912.nc,http://esgf3.dkrz.de/thredds/dodsC/cmip6/CMIP/MOHC/UKESM1-0-LL/historical/r1i1p1f2/Amon/tas/gn/v20190406/tas_Amon_UKESM1-0-LL_historical_r1i1p1f2_gn_185001-194912.nc,r1i1p1f2,historical,tas,gn,mon,1850,1949,1,1,1,2
UKESM1-0-LL,tas_Amon_UKESM1-0-LL_historical_r1i1p1f2_gn_195001-201412.nc,http://esgf3.dkrz.de/thredds/fileServer/cmip6/CMIP/MOHC/UKESM1-0-LL/historical/r1i1p1f2/Amon/tas/gn/v20190406/tas_Amon_UKESM1-0-LL_historical_r1i1p1f2_gn_195001-201412.nc,http://esgf3.dkrz.de/thredds/dodsC/cmip6/CMIP/MOHC/UKESM1-0-LL/historical/r1i1p1f2/Amon/tas/gn/v20190406/tas_Amon_UKESM1-0-LL_historical_r1i1p1f2_gn_195001-201412.nc,r1i1p1f2,historical,tas,gn,mon,1950,2014,1,1,1,2
